phase,mode,batch,query,type,runs,exec_min,exec_p25,exec_median,exec_p75,exec_max,plan_min,plan_p25,plan_median,plan_p75,plan_max,plan_shape,indexes_used,top_plan_rows,top_actual_rows,scan_plan_rows,scan_actual_rows,shared_hit_blocks,shared_read_blocks,exact_heap_blocks,lossy_heap_blocks,rows_removed_by_index_recheck,planning_shared_hit_blocks,jit_present,settings,detail_execution_ms
I-1,default,1,Q12b,jsonb,15,0.066,0.066,0.067,0.069,0.088,0.055,0.056,0.056,0.056,0.092,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1e_event_timestamp_utc],T_i1e_event_timestamp_utc,88,108,88,108,105,0,102,0,0,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.071
I-1,default,1,Q12c,json,15,0.227,0.229,0.237,0.244,0.259,0.058,0.058,0.059,0.061,0.063,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1e_event_timestamp_utc],T_i1e_event_timestamp_utc,500,498,500,498,424,0,419,0,0,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.264
I-1,default,1,Q12c,jsonb,15,0.224,0.225,0.226,0.236,0.253,0.058,0.058,0.058,0.06,0.062,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1e_event_timestamp_utc],T_i1e_event_timestamp_utc,500,498,500,498,408,0,403,0,0,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.268
I-1,default,1,Q16,json,15,5.146,5.576,5.735,5.882,9.895,0.048,0.051,0.055,0.06,0.099,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1c_status_code],T_i1c_status_code,2,78,2,78,429,0,427,0,0,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",11.071
I-1,default,1,Q16,jsonb,15,1.331,1.344,1.42,1.471,1.54,0.047,0.051,0.053,0.058,0.06,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1c_status_code],T_i1c_status_code,2,78,2,78,406,0,404,0,0,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",1.665
I-1,default,1,Q17,json,15,97.007,102.694,104.302,106.341,116.866,0.06,0.065,0.082,0.086,0.101,Aggregate [Seq Scan on T],-,7,8,5000,5000,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",127.137
I-1,default,1,Q17,jsonb,15,11.149,11.357,11.597,12.264,17.767,0.049,0.055,0.081,0.087,0.111,Aggregate [Seq Scan on T],-,7,8,5000,5000,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",11.618
I-1,default,1,Q09,json,15,56.141,59.202,60.333,67.129,80.855,0.047,0.062,0.067,0.073,0.16,Seq Scan on T,-,25,1528,25,1528,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",61.574
I-1,default,1,Q09,jsonb,15,10.355,12.149,12.51,13.054,17.465,0.039,0.062,0.065,0.074,0.088,Seq Scan on T,-,25,1528,25,1528,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",12.453
I-1,forced,1,Q07,json,15,0.015,0.016,0.017,0.022,0.034,0.04,0.042,0.044,0.057,0.11,Index Scan using T_i1a_record_validity,T_i1a_record_validity,12,12,12,12,14,0,None,None,0,0,False,"{""enable_seqscan"": ""off"", ""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.022
I-1,forced,1,Q07,jsonb,15,0.015,0.016,0.017,0.022,0.032,0.039,0.044,0.048,0.06,0.113,Index Scan using T_i1a_record_validity,T_i1a_record_validity,12,12,12,12,14,0,None,None,0,0,False,"{""enable_seqscan"": ""off"", ""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.021
I-1,forced,1,Q08,json,15,0.107,0.108,0.113,0.126,0.147,0.042,0.042,0.044,0.049,0.05,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1b_entity_type_code],T_i1b_entity_type_code,225,225,225,225,207,0,205,0,0,0,False,"{""enable_seqscan"": ""off"", ""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.117
I-1,forced,1,Q08,jsonb,15,0.107,0.112,0.113,0.125,0.152,0.042,0.043,0.044,0.049,0.064,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1b_entity_type_code],T_i1b_entity_type_code,225,225,225,225,200,0,198,0,0,0,False,"{""enable_seqscan"": ""off"", ""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.117
I-1,forced,1,Q10,json,15,0.029,0.03,0.03,0.03,0.033,0.041,0.042,0.042,0.043,0.046,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1c_status_code],T_i1c_status_code,30,30,30,30,32,0,30,0,0,0,False,"{""enable_seqscan"": ""off"", ""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.031
I-1,forced,1,Q10,jsonb,15,0.03,0.03,0.03,0.031,0.051,0.041,0.041,0.042,0.042,0.056,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1c_status_code],T_i1c_status_code,30,30,30,30,32,0,30,0,0,0,False,"{""enable_seqscan"": ""off"", ""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.061
I-1,forced,1,Q11a,json,15,0.213,0.225,0.243,0.375,0.526,0.067,0.069,0.077,0.101,0.109,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1d_latitude_degrees],T_i1d_latitude_degrees,406,422,406,422,365,0,362,0,0,0,False,"{""enable_seqscan"": ""off"", ""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.234
I-1,forced,1,Q11a,jsonb,15,0.206,0.214,0.216,0.236,0.431,0.067,0.075,0.08,0.081,0.141,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1d_latitude_degrees],T_i1d_latitude_degrees,406,422,406,422,340,0,337,0,0,0,False,"{""enable_seqscan"": ""off"", ""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.239
I-1,forced,1,Q11b,json,15,1.111,1.182,1.236,1.256,1.28,0.077,0.08,0.082,0.084,0.143,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1d_latitude_degrees],T_i1d_latitude_degrees,3086,3064,3086,3064,1233,0,1222,0,0,0,False,"{""enable_seqscan"": ""off"", ""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",1.254
